BHK,Rent,Living Area,Area Type,Furnishing Status,Tenant Preferred,Bathroom,Point of Contact,Postal Code
1,4500,230,0,2,1,1,0,700001
1,5500,1800,0,2,1,1,0,700001
2,8500,800,0,2,1,2,0,700001
1,5000,500,1,1,1,1,0,700001
2,8500,620,1,2,0,1,0,700001
2,9000,650,1,2,1,1,0,700001
1,7500,550,0,1,1,1,1,700001
2,7000,450,1,0,0,2,0,700001
3,15000,1350,1,2,2,2,0,700001
2,7000,600,0,1,1,2,0,700001
3,10000,1200,0,0,1,1,0,700001
2,7000,700,0,2,1,1,1,700001
3,3200,800,1,0,1,2,0,700001
2,6000,600,1,1,1,1,0,700001
2,12000,900,0,2,1,2,0,700001
2,6000,750,0,2,1,1,0,700001
3,10000,1250,0,2,1,2,0,700001
3,12000,1000,0,1,1,3,0,700001
2,8000,600,0,1,1,1,0,700001
2,5300,650,1,2,1,1,0,700001
2,5000,450,1,2,0,1,0,700001
3,8500,800,0,2,1,2,0,700001
3,22000,1000,1,1,1,2,0,700001
2,7000,1000,0,2,1,1,0,700001
3,25000,1400,1,0,0,3,1,700001
2,7000,600,1,1,0,1,0,700001
2,15000,723,1,0,2,1,0,700001
1,6000,320,1,2,1,1,0,700001
2,8000,900,0,1,1,1,0,700001
3,40000,1400,1,0,1,2,1,700001
1,6000,2160,0,1,0,1,0,700001
2,15000,650,1,1,1,1,0,700001
2,6500,800,0,1,1,1,0,700001
3,8000,800,0,1,1,1,0,700001
1,5500,500,1,2,1,1,0,700001
3,9000,1700,0,1,1,2,0,700001
1,6000,130,1,1,1,1,0,700001
1,15000,505,0,0,1,1,0,700001
4,30000,4000,0,0,1,3,1,700001
3,30000,1250,0,2,1,2,0,700001
1,5000,700,1,2,1,1,0,700001
2,15000,900,0,2,0,1,0,700001
1,6500,650,0,1,1,1,0,700001
2,4500,750,0,0,1,1,0,700001
2,7000,450,1,2,1,1,0,700001
1,6500,350,1,1,1,1,0,700001
1,17500,480,1,0,0,2,0,700001
2,10000,900,0,2,1,1,0,700001
1,1500,200,0,1,1,1,0,700001
3,25000,1100,0,2,1,3,0,700001
2,12000,800,1,2,1,1,0,700001
3,7500,1000,1,0,1,2,0,700001
1,7000,800,1,2,1,1,0,700001
1,3500,200,0,1,1,1,0,700001
3,10000,1190,1,2,1,2,0,700001
2,14000,900,1,2,0,2,1,700001
2,15000,1500,0,2,1,2,0,700001
2,6500,600,0,2,1,1,0,700001
3,10000,800,0,2,1,1,0,700001
2,10500,800,1,2,2,2,0,700001
3,10000,900,1,1,1,2,0,700001
1,5000,350,1,1,1,1,0,700001
2,9000,800,1,2,1,1,0,700001
2,20000,1600,1,2,0,2,0,700001
3,35000,1012,1,1,1,2,0,700001
3,15000,1200,1,2,0,2,0,700001
2,20000,700,0,0,1,1,0,700001
2,12000,1000,0,1,1,1,0,700001
2,8000,800,1,2,0,1,0,700001
1,3000,500,0,1,1,1,0,700001
3,20000,1200,1,1,0,2,0,700001
1,9000,450,1,2,0,1,1,700001
3,13000,950,1,2,1,2,0,700001
1,7000,350,1,2,1,1,1,700001
1,9000,450,1,2,1,1,1,700001
1,9000,550,1,1,0,1,0,700001
2,10000,300,1,2,0,1,0,700001
3,15000,1250,0,1,1,2,0,700001
2,7000,700,0,2,1,1,0,700001
3,8000,812,0,2,1,2,0,700001
2,8000,550,0,2,1,1,0,700001
1,5000,500,0,1,1,1,0,700001
1,14000,320,1,0,0,1,0,700001
2,5000,600,0,2,1,1,0,700001
2,5000,420,1,2,0,1,0,700001
3,12000,1100,0,2,0,1,0,700001
1,3200,220,0,2,1,1,0,700001
2,8500,700,1,1,1,2,0,700001
3,16000,1200,1,2,1,2,1,700001
2,14000,800,1,2,1,2,0,700001
1,8000,300,1,0,0,1,1,700001
2,7000,650,1,2,1,1,0,700001
1,8000,600,0,0,1,1,0,700001
1,3000,350,0,2,1,1,0,700001
1,3800,500,1,2,0,1,0,700001
1,6500,400,0,2,1,1,0,700001
3,20000,1750,0,1,1,3,0,700001
3,30000,1600,0,2,1,2,0,700001
1,8000,300,1,1,1,1,1,700001
2,14000,1100,0,1,1,2,0,700001
2,7200,830,0,2,1,1,0,700001
2,7000,600,1,1,1,2,0,700001
1,7000,500,0,2,0,2,0,700001
2,7500,900,1,2,1,1,0,700001
2,8500,1250,1,2,2,2,0,700001
2,12000,700,1,2,0,1,1,700001
1,8500,850,1,2,0,2,0,700001
2,9500,550,1,2,1,1,0,700001
2,7500,550,1,0,1,2,0,700001
2,12000,1200,0,2,1,1,0,700001
3,20000,1100,1,2,0,2,1,700001
2,8500,650,0,1,1,1,0,700001
3,20000,1050,1,2,0,2,1,700001
2,6000,960,0,1,1,2,0,700001
2,5500,650,1,2,1,2,0,700001
1,7000,550,0,1,1,1,0,700001
2,7000,500,0,1,1,2,0,700001
1,6500,450,0,2,2,1,0,700001
2,10000,850,0,2,0,2,0,700001
1,5200,300,1,2,1,1,1,700001
2,13000,1000,1,1,1,3,0,700001
2,7000,500,1,2,1,1,0,700001
2,12000,756,1,1,1,1,0,700001
1,15000,1000,0,2,1,1,0,700001
1,5000,150,1,2,1,1,0,700001
1,8000,800,1,2,0,1,0,700001
2,8000,700,0,2,0,2,1,700001
1,5000,420,0,2,0,1,0,700001
2,10000,800,0,2,0,1,1,700001
2,12000,288,1,2,0,1,0,700001
2,8000,900,0,2,1,2,0,700001
2,21000,850,1,2,0,2,1,700001
1,5000,350,1,2,0,1,0,700001
2,9000,600,0,2,1,1,0,700001
2,8000,1600,1,1,0,1,0,700001
2,7000,986,1,2,0,1,0,700001
3,35000,1330,1,2,0,2,1,700001
3,15000,1300,0,1,1,2,0,700001
2,6200,800,1,2,0,1,0,700001
2,9900,800,1,2,1,1,0,700001
2,7000,850,0,2,0,1,0,700001
1,5000,322,1,2,1,1,1,700001
2,6500,800,1,0,1,1,0,700001
4,40000,1500,1,2,0,2,1,700001
3,40000,3500,0,1,1,2,0,700001
2,12000,957,1,0,0,2,0,700001
1,6500,850,1,2,0,1,0,700001
2,10000,900,1,2,0,2,0,700001
2,15000,600,0,1,1,1,0,700001
1,5000,350,1,1,1,1,0,700001
2,7000,800,0,2,1,1,0,700001
2,6000,320,1,2,1,1,0,700001
3,15000,800,1,2,1,1,0,700001
2,10000,700,1,1,0,2,0,700001
2,22000,1200,0,1,1,2,1,700001
2,8500,750,1,1,1,1,0,700001
3,35000,1200,0,1,1,3,1,700001
2,7000,450,1,2,1,1,0,700001
3,8500,1430,0,1,1,1,0,700001
2,6000,450,0,2,1,1,1,700001
4,35000,800,0,1,1,3,0,700001
1,6000,400,0,2,1,1,0,700001
2,8000,650,0,2,1,1,0,700001
1,5000,450,1,2,1,1,0,700001
2,6000,600,0,2,1,1,0,700001
3,15000,1200,1,2,2,2,0,700001
2,9000,700,1,2,0,1,0,700001
1,5000,300,1,2,0,1,1,700001
3,8000,1200,0,2,1,3,0,700001
3,35000,1300,1,2,0,2,1,700001
1,5500,400,0,2,1,1,1,700001
3,35000,1320,1,2,0,2,1,700001
2,11000,1000,0,0,1,2,0,700001
2,10000,700,1,2,0,1,0,700001
2,6500,800,1,2,1,2,0,700001
2,6000,900,0,0,1,1,0,700001
3,36125,1700,0,2,1,2,0,700001
2,6800,600,1,2,0,1,0,700001
2,8500,850,1,2,2,2,0,700001
2,5000,550,1,2,0,1,0,700001
1,6500,650,1,0,1,1,0,700001
1,6500,800,1,2,1,1,0,700001
2,4500,475,0,2,1,1,0,700001
1,6000,200,1,2,1,1,1,700001
1,10000,400,1,2,1,1,1,700001
1,12000,500,0,0,1,1,1,700001
2,12000,550,1,2,1,1,1,700001
2,12000,800,0,2,1,1,0,700001
2,9000,1000,0,0,1,2,0,700001
1,5000,400,1,1,0,1,0,700001
1,6000,300,1,2,1,1,1,700001
2,5500,450,1,2,1,1,0,700001
2,5500,450,1,2,1,1,0,700001
2,8500,1100,1,2,1,2,0,700001
1,5000,450,0,2,1,1,0,700001
2,23000,1100,1,2,0,2,0,700001
2,5500,650,1,2,1,1,0,700001
2,8500,780,1,2,0,1,0,700001
3,22000,1100,0,1,1,2,0,700001
1,5500,800,0,2,1,1,0,700001
1,7000,500,0,1,1,2,1,700001
1,5000,400,1,2,0,1,0,700001
1,5000,450,1,2,1,1,0,700001
2,6500,550,0,2,1,1,1,700001
2,8000,600,1,2,1,1,0,700001
1,5500,200,0,2,1,1,0,700001
2,6000,500,1,1,1,1,0,700001
1,5500,450,1,2,0,1,0,700001
2,10000,1050,0,2,1,2,0,700001
3,10000,1000,1,2,0,2,0,700001
2,10000,1200,0,1,1,2,0,700001
3,12000,1100,0,1,2,2,0,700001
1,5200,220,0,2,1,1,0,700001
1,4000,350,0,2,1,1,0,700001
3,30000,1100,1,2,0,1,0,700001
2,5146,800,0,2,1,1,0,700001
2,12000,950,0,2,1,1,0,700001
3,7000,1200,0,2,1,1,0,700001
2,8500,700,0,1,1,1,0,700001
1,7000,500,0,2,1,1,0,700001
2,9500,570,0,2,1,1,0,700001
2,8000,650,0,2,1,1,0,700001
3,15000,1200,0,2,1,3,0,700001
5,22500,960,0,2,1,2,0,700001
2,12500,1250,0,1,1,2,0,700001
3,34000,120,0,0,1,2,0,700001
3,14000,950,1,1,1,2,0,700001
1,9500,600,1,2,1,1,1,700001
2,7000,750,0,2,1,1,0,700001
3,20000,1200,0,2,1,2,0,700001
1,6500,400,1,1,1,1,1,700001
1,7500,600,1,0,1,1,0,700001
2,6500,700,0,2,1,1,0,700001
2,9500,850,0,1,1,1,0,700001
1,1800,500,0,1,1,1,0,700001
2,7500,650,1,2,1,1,0,700001
2,10000,800,0,1,1,2,0,700001
3,15000,830,0,2,1,2,0,700001
2,7000,600,0,2,0,1,1,700001
2,6000,800,0,2,1,1,0,700001
2,14000,1200,0,1,2,2,0,700001
2,22000,1000,0,0,1,2,0,700001
2,18000,750,1,2,1,2,1,700001
2,10000,800,1,2,0,2,0,700001
2,6000,1200,0,2,1,2,0,700001
2,10000,750,1,2,1,1,0,700001
3,10000,1500,0,1,1,2,0,700001
1,5000,300,0,2,1,1,0,700001
3,10000,800,1,2,0,1,0,700001
2,7000,450,0,2,1,2,0,700001
4,10000,1200,0,0,1,2,0,700001
2,6000,500,0,1,1,2,0,700001
2,18000,900,1,1,1,2,0,700001
2,8000,460,1,2,0,1,0,700001
2,8000,530,0,1,2,1,0,700001
2,13000,650,1,1,1,2,0,700001
2,20000,700,1,1,0,2,0,700001
2,6000,400,0,2,1,1,0,700001
2,12000,1000,0,2,1,2,0,700001
1,10000,400,1,1,0,1,0,700001
2,14000,700,1,2,0,2,0,700001
2,10000,850,1,1,0,2,0,700001
2,10500,558,1,2,1,2,1,700001
2,6000,800,0,2,1,1,0,700001
2,12000,900,1,2,1,2,0,700001
3,14000,1600,0,0,1,2,0,700001
1,3700,150,1,2,0,1,0,700001
3,40000,1600,1,2,0,2,1,700001
3,25000,1000,0,2,1,1,0,700001
1,2200,700,0,2,1,1,0,700001
1,3300,175,0,2,1,1,0,700001
1,5000,450,0,1,1,1,0,700001
3,60000,1700,1,1,0,3,1,700001
2,6000,425,1,2,1,1,0,700001
3,7000,900,0,1,1,3,0,700001
1,5000,400,1,2,1,1,1,700001
2,11000,600,0,2,1,1,1,700001
2,10000,721,0,0,1,2,0,700001
3,22000,1150,1,2,1,2,1,700001
3,65000,2210,1,2,1,3,0,700001
2,7500,675,0,2,1,1,0,700001
2,45000,1320,0,0,1,2,0,700001
1,5000,250,1,2,1,1,1,700001
2,12000,720,0,2,0,2,0,700001
5,25000,1880,1,2,0,2,0,700001
3,18000,850,1,1,1,3,0,700001
2,25000,1050,1,2,1,2,0,700001
1,25000,320,0,1,1,1,0,400001
2,70000,750,1,0,1,2,1,400001
1,45000,450,1,0,1,1,1,400001
3,75000,1100,1,2,2,3,1,400001
1,14000,640,0,0,1,1,0,400001
1,60000,650,0,2,0,1,1,400001
2,160000,800,1,2,1,2,0,400001
4,300000,1600,1,1,1,5,1,400001
1,22000,460,0,2,1,1,0,400001
4,130000,1650,1,1,1,4,1,400001
1,33000,480,1,1,0,2,1,400001
1,32000,500,1,0,0,2,1,400001
1,30000,490,1,1,0,2,1,400001
1,49000,620,0,0,1,1,0,400001
2,28000,518,1,1,1,2,0,400001
2,33500,700,1,1,1,2,1,400001
2,85000,777,1,1,1,2,1,400001
2,35000,650,1,2,2,2,1,400001
3,270000,1800,1,1,1,4,1,400001
5,400000,2308,1,0,2,5,1,400001
1,21000,425,1,2,1,2,1,400001
2,150000,890,1,2,0,2,0,400001
1,22000,270,0,2,1,1,0,400001
2,100000,850,1,1,0,2,1,400001
2,60000,888,1,1,1,2,1,400001
2,8000,650,1,1,2,2,1,400001
1,20000,275,1,2,0,1,1,400001
2,20000,700,1,1,2,2,1,400001
1,25000,375,0,2,1,1,0,400001
1,14000,424,0,1,1,1,0,400001
1,19411,400,0,0,1,2,0,400001
1,23000,450,1,0,1,1,1,400001
4,190000,2079,1,1,1,5,1,400001
2,32000,586,0,1,1,1,0,400001
2,68000,610,1,0,1,2,0,400001
1,30000,488,1,1,1,2,0,400001
3,110000,1200,1,1,1,3,1,400001
2,44000,722,1,1,1,2,1,400001
1,20000,450,1,2,1,1,1,400001
1,25000,500,0,1,1,2,0,400001
2,40000,680,1,0,0,2,1,400001
2,43000,1150,1,2,1,2,1,400001
2,44000,830,1,0,0,2,1,400001
1,75000,550,1,0,1,1,1,400001
1,32000,470,1,1,2,2,1,400001
1,16000,410,1,1,2,2,1,400001
2,65000,710,1,1,1,2,1,400001
2,45000,750,1,1,1,2,1,400001
2,57000,800,1,2,1,2,1,400001
1,27000,435,1,2,1,2,1,400001
1,57000,500,1,1,1,1,1,400001
2,55000,800,1,0,1,2,1,400001
1,40000,540,1,1,2,2,1,400001
2,95000,1050,1,2,1,2,1,400001
2,85000,700,1,1,1,2,1,400001
4,300000,1600,1,1,1,4,1,400001
2,80000,600,1,0,1,1,1,400001
1,13000,300,0,2,1,2,0,400001
1,28000,550,1,2,0,2,0,400001
3,89000,932,1,1,1,3,1,400001
1,28000,450,1,2,1,2,1,400001
2,13000,600,1,2,1,2,0,400001
1,24000,424,1,2,1,2,1,400001
2,38000,560,1,0,0,2,0,400001
1,32000,450,1,2,0,2,1,400001
4,350000,3000,1,1,1,5,1,400001
1,40000,600,1,0,2,2,1,400001
3,150000,1400,1,0,0,3,1,400001
2,45000,630,1,2,0,2,1,400001
3,170000,1400,1,2,1,3,1,400001
1,30000,320,0,0,2,1,0,400001
2,210000,1000,1,2,0,2,1,400001
3,75000,1150,1,2,1,3,1,400001
2,47000,751,1,1,2,2,1,400001
2,14000,570,1,0,2,2,1,400001
2,55000,696,1,1,1,2,1,400001
4,120000,1600,1,2,2,4,1,400001
3,300000,2500,1,1,0,3,1,400001
3,70000,1150,1,2,1,3,1,400001
3,150000,1500,1,1,1,4,1,400001
3,62000,950,1,0,1,3,1,400001
2,42000,750,1,2,0,2,1,400001
2,130000,715,1,0,1,2,1,400001
3,170000,1337,1,0,1,3,1,400001
3,20000,737,1,1,0,3,1,400001
2,41000,750,1,2,0,2,1,400001
2,65000,760,1,1,1,2,1,400001
2,50000,750,1,1,1,2,1,400001
2,85000,650,1,1,0,2,1,400001
2,50000,1000,0,1,1,2,0,400001
1,30000,570,1,2,1,1,0,400001
2,120000,900,1,1,2,2,1,400001
2,60000,760,1,2,2,2,1,400001
3,110000,1500,1,2,1,4,1,400001
3,84500,1150,1,2,2,3,1,400001
3,80000,1100,1,1,2,3,1,400001
3,50000,1000,1,0,1,3,1,400001
2,40000,720,1,2,0,2,1,400001
1,34000,365,1,0,2,1,1,400001
4,220000,2000,1,0,1,4,1,400001
1,25000,400,1,2,1,1,1,400001
3,150000,1330,1,1,1,4,1,400001
3,85000,850,1,1,2,3,1,400001
4,180000,2000,1,0,1,5,1,400001
2,40000,700,1,1,1,2,1,400001
2,50000,900,1,1,0,2,1,400001
2,38000,650,1,0,2,2,1,400001
4,310000,2600,1,2,2,4,1,400001
2,50000,680,1,2,1,2,1,400001
3,65000,950,1,1,1,3,1,400001
4,210000,1783,1,1,1,3,0,400001
3,150000,1330,1,2,1,3,1,400001
1,32000,565,0,2,1,2,0,400001
1,26000,450,1,2,1,1,1,400001
2,60000,710,1,1,1,2,1,400001
3,190000,1514,1,1,1,4,1,400001
3,100000,1080,1,2,1,3,1,400001
2,35000,700,1,2,2,2,1,400001
3,68000,890,1,2,1,2,1,400001
3,150000,1250,1,1,1,3,1,400001
1,18000,300,0,1,1,1,0,400001
2,55000,720,1,2,1,2,1,400001
3,65000,825,1,0,2,3,1,400001
2,80000,500,1,0,1,2,0,400001
2,53000,750,1,1,1,2,1,400001
2,80000,750,1,1,1,2,1,400001
1,18000,360,1,0,1,1,1,400001
4,250000,1545,1,1,2,5,1,400001
1,17500,400,1,2,1,1,1,400001
3,43000,750,1,2,2,2,1,400001
1,13500,432,1,2,2,2,1,400001
2,18000,780,1,2,2,2,1,400001
2,75000,695,1,1,1,1,1,400001
1,18000,375,1,2,1,1,1,400001
3,160000,1095,1,1,1,3,1,400001
1,32000,475,1,1,2,2,1,400001
2,55000,790,1,2,1,2,1,400001
2,47000,661,1,1,1,2,1,400001
2,35000,700,1,1,1,2,1,400001
1,15000,420,1,1,2,1,1,400001
2,50000,750,1,2,1,2,1,400001
2,25500,950,0,1,1,3,0,400001
5,350000,1880,1,0,2,5,1,400001
3,55000,1350,1,0,1,3,1,400001
1,25000,330,0,1,2,1,0,400001
2,50000,750,1,2,1,2,1,400001
2,65000,925,1,0,1,3,1,400001
3,50000,1150,1,1,2,3,1,400001
3,65000,1105,1,2,1,3,1,400001
3,160000,1050,1,0,0,3,1,400001
1,25000,410,1,1,0,1,1,400001
1,32000,460,1,2,1,2,1,400001
1,21000,600,0,1,1,1,0,400001
1,20000,570,0,0,1,2,0,400001
2,55000,720,1,0,1,2,1,400001
1,32000,500,1,1,0,2,0,400001
4,150000,1460,1,1,1,4,1,400001
1,30000,415,1,2,0,2,1,400001
3,150000,1400,1,1,1,3,1,400001
1,27000,270,1,2,1,1,1,400001
2,47000,585,1,1,1,2,1,400001
